Target,Message
0,problem spend lot qualiti time togeth
0,hahaha use brain dear
0,like di sweater fr mango size alreadi irrit
0,thank messag realli appreci sacrific sure process direct pay find way back test tomorrow class wonder day
0,uncl timi help clear car
0,search right word thank breather promis wont take help grant fulfil promis wonder bless time
0,kind took garag centr part exhaust need replac part order n take fix tomo morn
0,love girl offic may wonder smile sore
0,wan na art
0,hello boytoy geeee miss alreadi woke wish bed cuddl love
0,g say never answer text
1,tkt cup final cash collect call pobox
0,shall start hear
0,sorri call later
0,honeybe said sweetest world god laugh amp said wait u havnt met person read msg moral even god crack joke
0,mum hope great day hope text meet well full life great day abiola
0,work
0,get class bsn like lt gt minut know advis
0,nice new shirt thing wear nudist theme mu
0,reach ten morn
0,readi big day tomorrow
0,r u scratch
0,solv case man found murder lt decim gt lt gt afternoon wife call polic polic question everyon wife sir sleep murder took place cook pick veget went post offic went play went marriag polic arrest murder immedi repli reason u r brilliant
0,money money aint thing sha
0,think rule tamilnadu tough peopl
0,head straight
0,mum sent mani mani messag sinc got want know actual get enjoy rest day
0,yo sorri shower sup
0,news hassl get weed week andr money haughaighgtujhyguj
0,go thru differ decis cope heal everyth believ
1,wan na laugh tri mobil logon txting word chat send cm po box london rcvd
0,wake long ago alreadi dunno thing
0,askd u question hour answer
0,ugh got outta class
0,hey sat go intro pilat kickbox
0,r still meet dinner tonight
1,peopl dog area call join like mind guy arrang even minapn
0,pleassssssseeeee tel v avent done sportsx
0,feb lt gt love day send di ur valu evn come back u gt marri person u luv u ignor di u lose ur luv evr
0,love give massag use lot babi oil fave posit
1,smsservic yourinclus text credit pl goto unsubscrib stop extra charg help
0,good morn pooki pie lol hope wake u
0,ca number
0,know old dom told yesterday name roger got touch last night want meet today pm
0,yeah confirm stay weekend
0,look
0,thk shld b ya wana go lesson haha go one whole stretch
0,sent part
0,dad want talk apart got late start omw
0,suppos wake gt
0,use foreign stamp countri
1,guarante award even cashto claim ur award call free stop getstop php
0,fwiw reason around time smoke ga afford around someon tell appar happen somebodi want light
0,final match head toward draw predict
0,oh right make sure load work day got realli nasti cough today dri n shot realli help
0,call cost guess isnt bad miss ya need ya want ya love ya
0,tire argu week week want
0,oh icic k lor den meet day
1,money r lucki winner claim prize text money give away text rate
0,u come pick
0,thread wishlist section forum ppl post nitro request start last page collect bottom
0,superb grate u dont everyth u want mean u still opportun happier tomorrow u
0,sign matur start say big thing actual start understand small thing nice even bslvyl
0,tuition hm go one mind
0,inform ikea spell cap yell thought left sit bed among mess came said go got home class pleas tri bullshit make want listen less
0,wonder world ur style ur smile ur person ur natur ur sm love good morn dear
0,ok gon na head usf like fifteen minut
0,hiya good day spoken sinc weekend
1,u select stay top british hotel noth holiday valu dial claim nation rate call
1,urgent tri contact today draw show prize guarante call land line claim valid
0,im good think
0,set place heart mind mind easili forget heart alway rememb wish happi valentin day
0,open mca
0,happi come noon
0,sure check yahoo email sent photo yesterday
0,go tri month ha ha joke
0,bday real april
0,apo mokka player
1,hot live fantasi call per min ntt ltd po box croydon k
0,swt thought get tire littl thing lovabl person coz somtim littl thing occupi biggest part heart gud
0,nah think goe usf live around though
1,u secret admir reveal think u r special call opt repli reveal stop per msg recd cust care
1,urgent landlin complimentari ibiza holiday cash await collect sae cs po box
0,got tv watch meh u work today
0,noth u dinner w us
1,u secret admir look make contact r reveal think ur
0,dont worri guess busi
0,movi laptop
0,stay town
0,wait least wednesday see get
0,good morn plz call sir
